"INSTNM","CITY","STABBR","INSTURL","NPCURL","lat","lng","CONTROL"
"The Academy of Radio and TV Broadcasting","Huntington Beach","CA","WWW.ARBRADIO.COM","www.arbradio.com/NetPriceCalculator/npcalc.htm",33.728895,-117.987666,3
"Avalon School of Cosmetology-Alameda","Alameda","CA","avalon.edu/locations/alameda-ca/","www.avalon.edu/admissions-process/financial-aid/",37.764203,-122.243566,3
"College of Alameda","Alameda","CA","www.peralta.edu","https://webprod.cccco.edu/npc/341/npcalc.htm",37.78239,-122.279261,1
"Allan Hancock College","Santa Maria","CA","www.hancockcollege.edu/","https://webprod.cccco.edu/npc/611/npcalc.htm",34.942979,-120.421486,1
"American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA","WWW.AADA.EDU","www.aada.edu/admissions/costs.html",34.095315,-118.344097,2
"American Baptist Seminary of the West","Berkeley","CA","www.absw.edu","NULL",37.865252,-122.256149,2
"American Film Institute Conservatory","Los Angeles","CA","www.AFI.com","www.afi.com/conservatory/admissions/fa_cost.aspx",34.10846,-118.309989,2
"American Beauty College","West Covina","CA","www.american-beauty-college.com","www.american-beauty-college.com",33.884391,-118.125036,3
"American Career College-Los Angeles","Los Angeles","CA","americancareercollege.edu/","www.aidcalc.com/acc/#window_top",34.079236,-118.292282,3
"American Conservatory Theater","San Francisco","CA","www.act-sf.org","www.actaccess.org/netpricecalculator/npcalc.htm",37.787326,-122.404945,2
"American River College","Sacramento","CA","www.arc.losrios.edu/","www.losrios.edu/lrc/npcalc.php?c=arc",38.649734,-121.346012,1
